0.7399996, 0, 0, 37.53633, 5.798958, 0, 9456.133, -891.8635, -2.947957, 0.01947593, 0.1574723, 141.1693, 2.158939, 1.732906, 25.85516
1.769999, 0.8499494, -0.08107813, 71.90986, 0, -0.0287949300095607042714330585, 43915.93, -950.5809, -2.947957, 0.01947593, 0.1574723, 308.4055, 2.158939, 1.646691, 21.70268
 
1.779999, 0.9434223, -0.07257863, 71.82352, 0, -0.034906670233970576413042, 43825.06, -950.5809, -2.947957, 0.01947593, 0.1574723, 308.1374, 2.158939, 1.646691, 21.70268
 
1.789999, 1, -0.06314441, 71.73734, 0, -0.0401567291359306555908230585, 43734.46, -950.5809, -2.947957, 0.01947593, 0.1574723, 307.8698, 2.158939, 1.646691, 21.70268
 
1.799999, 1, -0.05314441, 71.65136, 0, -0.044486293945797875352633, 43644.15, -950.5809, -2.947957, 0.01947593, 0.1574723, 307.6027, 2.158939, 1.646691, 21.70268
 
1.809999, 1, -0.04314441, 71.56553, 0, -0.047876798367662344488702, 43554.09, -950.5809, -2.947957, 0.01947593, 0.1574723, 307.3361, 2.158939, 1.646691, 21.70268
 
1.819999, 1, -0.03314441, 71.4799, 0, -0.050337044067738290817829, 43464.3, -950.5809, -2.947957, 0.01947593, 0.1574723, 307.0699, 2.158939, 1.646691, 21.70268
 
1.829999, 1, -0.02314441, 71.39443, 0, -0.051876021705072854930577, 43374.78, -950.5809, -2.947957, 0.01947593, 0.1574723, 306.8043, 2.158939, 1.646691, 21.70268
 
1.839999, 1, -0.01314441, 71.30914, 0, -0.0525006430175520368939749415, 43285.51, -950.5809, -2.947957, 0.01947593, 0.1574723, 306.5391, 2.158939, 1.646691, 21.70268
 
1.849999, 1, -0.003144415, 71.22401, 0, -0.052219187691185485419824, 43196.5, -950.5809, -2.947957, 0.01947593, 0.1574723, 306.2743, 2.158939, 1.646691, 21.70268
 
1.859999, 0.9889659, 0.006855585, 71.13905, 0, -0.0510409163747813364986230585, 43107.74, -950.5809, -2.947957, 0.01947593, 0.1574723, 306.0101, 2.158939, 1.646691, 21.70268
 
1.869999, 0.9137456, 0.01674524, 71.05426, 0, -0.048978158600766419755888, 43019.24, -950.5809, -2.947957, 0.01947593, 0.1574723, 305.7462, 2.158939, 1.646691, 21.70268
 
1.879999, 0.8246852, 0.0258827, 70.96964, 0, -0.0460767766299059086277449415, 42931, -950.5809, -2.947957, 0.01947593, 0.1574723, 305.4829, 2.158939, 1.646691, 21.70268
 
1.889999, 0.7239353, 0.03412955, 70.88518, 0, -0.042418352368368481058773, 42843.01, -950.5809, -2.947957, 0.01947593, 0.1574723, 305.22, 2.158939, 1.646691, 21.70268
 
1.899999, 0.6137648, 0.0413689, 70.8009, 0, -0.038094826329492794259603, 42755.28, -950.5809, -2.947957, 0.01947593, 0.1574723, 304.9576, 2.158939, 1.646691, 21.70268
 
1.909999, 0.4965328, 0.04750655, 70.71677, 0, -0.0332074356740609148000479415, 42667.8, -950.5809, -2.947957, 0.01947593, 0.1574723, 304.6956, 2.158939, 1.646691, 21.70268
 
1.919999, 0.3746216, 0.05247188, 70.63279, 0, -0.0278634113355533629633110585, 42580.54, -950.5809, -2.947957, 0.01947593, 0.1574723, 304.4341, 2.158939, 1.646691, 21.70268
 
1.929999, 0.2503894, 0.05621809, 70.54898, 0, -0.022173683107177861952332, 42493.54, -950.5809, -2.947957, 0.01947593, 0.1574723, 304.1729, 2.158939, 1.646691, 21.70268
 
1.939999, 0.1261547, 0.05872199, 70.46536, 0, -0.016251988675659259024265, 42406.79, -950.5809, -2.947957, 0.01947593, 0.1574723, 303.9122, 2.158939, 1.646691, 21.70268
 
1.949998, 0.004133714, 0.05998353, 70.38184, 0, -0.010211696741715011749412, 42320.25, -950.5809, -2.947957, 0.01947593, 0.1574723, 303.6519, 2.158939, 1.646691, 21.70268
 
1.959998, -0.1135658, 0.06002487, 70.29852, 0, -0.0041651500449702102005027058, 42233.97, -950.5809, -2.947957, 0.01947593, 0.1574723, 303.3921, 2.158939, 1.646691, 21.70268
 
1.969998, -0.2250112, 0.05888921, 70.21535, 0, 0.0017798778016750587840916058, 42147.93, -950.5809, -2.947957, 0.01947593, 0.1574723, 303.1326, 2.158939, 1.646691, 21.70268
 
1.979998, -0.3284712, 0.0566391, 70.13232, 0, 0.0075219831437526164775212, 42062.12, -950.5809, -2.947957, 0.01947593, 0.1574723, 302.8736, 2.158939, 1.646691, 21.70268
 
1.989998, -0.4223796, 0.05335439, 70.04946, 0, 0.01296463834188120174909, 41976.55, -950.5809, -2.947957, 0.01947593, 0.1574723, 302.615, 2.158939, 1.646691, 21.70268
 
1.999998, -0.5054696, 0.04913059, 69.96674, 0, 0.0180235174939528050725059415, 41891.21, -950.5809, -2.947957, 0.01947593, 0.1574723, 302.3568, 2.158939, 1.646691, 21.70268
 
2.009999, -0.5766458, 0.0440759, 69.88418, 0, 0.022620534161240549242256, 41806.1, -950.5809, -2.947957, 0.01947593, 0.1574723, 302.099, 2.158939, 1.646691, 21.70268
 
2.019999, -0.6351285, 0.03830944, 69.80178, 0, 0.02669163777273465517645, 41721.22, -950.5809, -2.947957, 0.01947593, 0.1574723, 301.8416, 2.158939, 1.646691, 21.70268
 
2.029999, -0.6803728, 0.03195815, 69.71954, 0, 0.030183361356063779189458, 41636.59, -950.5809, -2.947957, 0.01947593, 0.1574723, 301.5846, 2.158939, 1.646691, 21.70268
 
2.039999, -0.7120772, 0.02515442, 69.63742, 0, 0.0330537485023411751953989415, 41552.17, -950.5809, -2.947957, 0.01947593, 0.1574723, 301.328, 2.158939, 1.646691, 21.70268
 
2.049999, -0.7301865, 0.01803365, 69.5555, 0, 0.035273019340909467324001, 41468, -950.5809, -2.947957, 0.01947593, 0.1574723, 301.0719, 2.158939, 1.646691, 21.70268
 
2.059999, -0.7349324, 0.01073179, 69.4737, 0, 0.0368262974359275314285549415, 41384.06, -950.5809, -2.947957, 0.01947593, 0.1574723, 300.8161, 2.158939, 1.646691, 21.70268
 
2.069999, -0.7267013, 0.003382466, 69.39206, 0, 0.037707256027325517450198, 41300.35, -950.5809, -2.947957, 0.01947593, 0.1574723, 300.5609, 2.158939, 1.646691, 21.70268
 
2.079998, -0.7061312, -0.003884547, 69.31059, 0, 0.0379235178260269173347209415, 41216.88, -950.5809, -2.947957, 0.01947593, 0.1574723, 300.306, 2.158939, 1.646691, 21.70268
 
2.089998, -0.6740485, -0.01094586, 69.22928, 0, 0.03749401811394919197192, 41133.64, -950.5809, -2.947957, 0.01947593, 0.1574723, 300.0515, 2.158939, 1.646691, 21.70268
 
